Movie_Name, Cast_Name, Total_Centrality, Average_Centrality
Aan Milo Sajna,woman,222.5,18.54166667
Aan Milo Sajna,savitri,868.1666667,6.627226463
Aan Milo Sajna,deepali,0,0
Abhinetri,anjana,319,4.037974684
Aag Aur Shola,usha,48,0.888888889
Aakhree Raasta,mary,256,1.882352941
Aap Ke Saath,deepa,60,3.529411765
Aap Ke Saath,ganga,280.5,7.791666667
Chetna,seema,227.5,1.338235294
Chetna,dhawan,120.8333333,3.897849462
Adhikar,mother,242.3333333,7.343434343
Adhikar,jyoti,52.75,0.613372093
Aisa Pyaar Kahan,saritha,0,0
Aisa Pyaar Kahan,pooja,41,1.138888889
Amrit (film),nurse,0,0
Amrit (film),sunita,408.3333333,7.561728395
Amrit (film),kamla,1007.666667,6.107070707
Angaaray,mother,0,0
Angaaray,hirabai,20,2.857142857
Angaaray,aarti,431,3.652542373
Dharti,daughter,16,3.2
Ankush,anita,164,6.307692308
Anokha Rishta,dr.,0,0
Anokha Rishta,beena,0,0
Anokha Rishta,woman,20,4
Anokha Rishta,padma,415,1.869369369
Anokha Rishta,mother,42,0.094170404
Anokha Rishta,superior,4550.694034,12.13518409
Anokha Rishta,alex,77,0.762376238
Anokha Rishta,sister,194.1166667,2.854656863
Anubhav,gauri,803.2333333,4.249911817
Asli Naqli,laxmi,0,0
Asli Naqli,seth,0,0
Geet,janki,220.1666667,3.931547619
Geet,kamla,203,0.910313901
Geet,sister,64.5,2.804347826
Baat Ban Jaye,aman,65,2.407407407
Baat Ban Jaye,nisha,133,8.866666667
Bhagwaan Dada,woman,305.4666667,7.450406504
Bhagwaan Dada,geeta,232.3333333,2.581481481
Bhagwaan Dada,mother,180,6.666666667
Bhagwaan Dada,bijli,2040.533333,6.870482604
Bhagwaan Dada,sister,556.75,11.84574468
Chameli Ki Shaadi,chameli,638.847619,13.03770651
Dharm Adhikari,sudha,36,1.565217391
Dharm Adhikari,savitri,91,2.527777778
Dharm Adhikari,daughter,321.6666667,6.992753623
Dilwaala,kamla,68.5,6.85
