Movie_Name, Cast_Name, Total_Centrality, Average_Centrality
Aan Milo Sajna,anil,9219.2,70.37557252
Bachpan,tom,29,0.491525424
Bachpan,father,469.3333333,7.44973545
Bachpan,rahim,0,0
Aag Aur Shola,nagesh,94,2.473684211
Aag Aur Shola,vishal,463.7666667,4.881754386
Aag Aur Shola,brother,17,2.428571429
Aag Aur Shola,raju,334.6666667,3.450171821
Aakhree Raasta,mahesh,108.3333333,1.692708333
Aakhree Raasta,chaturvedi,92,2.486486486
Aakhree Raasta,david,87,0.612676056
Aap Ke Saath,vimal,64,2.37037037
Aap Ke Saath,ashok,422,6.115942029
Bombay Talkie,actor,15,3.75
Chetna,actor,0,0
Chetna,man,368.1666667,14.72666667
Chetna,anil,526,2.922222222
Adhikar,vishal,349,2.440559441
Adhikar,boy,18,3.6
Aisa Pyaar Kahan,suraj,101,1.905660377
Aisa Pyaar Kahan,deepak,10.5,2.1
Aisa Pyaar Kahan,sagar,45,0.642857143
Amrit (film),son,405.6666667,6.875706215
Amrit (film),amrit,1514.8,7.462068966
Angaaray,ravi,305.8333333,5.770440252
Angaaray,jolly,7,0.212121212
Angaaray,brother,259,4.796296296
Angaaray,vijay,150,1.666666667
Dharti,son,60,6.666666667
Dharti,bharat,36,1.125
Dharti,man,152.5,8.970588235
Dharti,diwan,222,3.171428571
Anokha Rishta,father,900.6666667,14.2962963
Anokha Rishta,robert,4422.05,6.381024531
Anokha Rishta,son,708.3333333,14.45578231
Anokha Rishta,bob,2891.866667,6.678675905
Anokha Rishta,man,1219,12.69791667
Anubhav,bijli,211.35,1.531521739
Anubhav,amit,154,3.581395349
Anubhav,man,12,3
Anubhav,ramesh,493,2.622340426
Asli Naqli,durjan,0,0
Geet,kunver,777,5.55
Geet,father,233.3333333,7.291666667
Geet,sarju,513,2.1375
Baat Ban Jaye,man,20,4
Ghar Ghar Ki Kahani,sadhuram,15,2.142857143
Ghar Ghar Ki Kahani,ravi,119,2.245283019
Ghar Ghar Ki Kahani,shankarnath,32.5,0.65
Bhagwaan Dada,young,57,0.448818898
Bhagwaan Dada,father,336,8.4
Bhagwaan Dada,bhagwaan,4715.316667,6.363450292
Bhagwaan Dada,inspector,0,0
Bhagwaan Dada,govinda,3455.033333,14.15997268
Bhagwaan Dada,boy,114,3.257142857
Bhagwaan Dada,shambu,690.6666667,2.294573643
Bhagwaan Dada,swaroop,2280.083333,6.316020314
Bhagwaan Dada,dada,661,4.721428571
Bhagwaan Dada,man,797.25,12.07954545
Bhagwaan Dada,vijay,326,3.227722772
Chameli Ki Shaadi,harish,14.66666667,1.128205128
Chameli Ki Shaadi,charandas,139,2.278688525
Chameli Ki Shaadi,charan,0,0
Chameli Ki Shaadi,kallumal,36,6
Chameli Ki Shaadi,bhajandas,29,5.8
Dahleez,rahul,30,0.24
Dahleez,will,0,0
Dahleez,chandrashekhar,8,0.727272727
Dahleez,man,148,13.45454545
Dharm Adhikari,prakash,63,1.285714286
Dharm Adhikari,son,71,4.176470588
Dharm Adhikari,chowdry,94,0.831858407
Dharm Adhikari,brother,24,3.428571429
Dilwaala,raghu,162,7.714285714
Dilwaala,mla,0,0
Dilwaala,father,52,2.736842105
Dosti Dushmani,prakash,23,0.221153846
Dosti Dushmani,dr.sandeep,0,0
Dosti Dushmani,sandeep,767,4.214285714
Dosti Dushmani,daga,390,4.814814815
Dosti Dushmani,inspector,0,0
Dosti Dushmani,advocate,0,0
Dosti Dushmani,ranjith,504,3.818181818
Himmat,the,0,0
Himmat,raghu,1481.428571,6.922563418
Himmat,mathur,340.2166667,4.00254902
Himmat,man,90,6
Ek Chadar Maili Si,mangal,101,2.463414634
Ek Chadar Maili Si,man,102,8.5
Ek Chadar Maili Si,brother,735.5833333,13.87893082
Ek Ruka Hua Faisla,juror,483.5,3.662878788
Ek Ruka Hua Faisla,boy,438.1666667,5.921171171
Humjoli,roopa,235,6.527777778
Humjoli,man,16,4
Genesis,man,0,0
Ghar Sansar,prakash,3217,23.65441176
Ghar Sansar,chandan,74,1.541666667
Ghar Sansar,father,53.16666667,1.519047619
Ghar Sansar,man,156,9.176470588
Ghar Sansar,satya,0,0
Ghar Sansar,brother,471,11.21428571
Ishq Par Zor Nahin,amar,243,2.359223301
Ishq Par Zor Nahin,ram,883,10.90123457
Ilzaam,man,162,10.8
Ilzaam,ajay,151.1333333,1.542176871
Jawab,raja,185,1.947368421
Jawab,sagar,36,3.6
Jawab,zamindar,280,7
Jaal,shankar,360,1.607142857
Jaal,father,58.58333333,2.929166667
Jaal,bhanu,38,0.926829268
Jeevan Mrityu,ashok,0,0
Janbaaz,amar,125,1.302083333
Janbaaz,raja,137,7.611111111
Janbaaz,rana,510,7.391304348
Janbaaz,vikas,118,7.866666667
Janbaaz,singh,221.8333333,9.243055556
Janbaaz,rajesh,48,0.923076923
Johny Mera Naam,sohan,157,5.233333333
Johny Mera Naam,mohan,27,1.173913043
Jeeva,jeeva,6,0.3
Jeeva,lala,215,11.31578947
Jeeva,jeevan,0,0
Khilona,thakur,0,0
Khilona,vijaykamal,0,0
Khilona,bihari,368.8333333,6.046448087
Khilona,mohan,18,0.28125
Khilona,singh,52,4.727272727
Khilona,brother,146,4.709677419
Khilona,vijay,490.5,3.454225352
Maa Aur Mamta,father,75.5,1.324561404
Maa Aur Mamta,boy,10,1.25
Maa Aur Mamta,henry,134.5,4.981481481
Maa Aur Mamta,williams,21,0.291666667
Maa Aur Mamta,man,40,6.666666667
Maa Aur Mamta,bothe,193,8.391304348
Maa Aur Mamta,cassim,0,0
Maa Aur Mamta,ram,229,2.694117647
Karma,the,749,2.029810298
Karma,baiju,271,2.737373737
Karma,johnny,54,0.461538462
Karma,dang,1241,13.94382022
Karma,khairuddin,474.5,5.157608696
Karma,singh,980.5,3.501785714
Man Ki Aankhen,rajesh,262,6.093023256
Krishna-Krishna,father,15,3
Krishna-Krishna,gopalakrishnan,227,4.450980392
Love and God,allah,93.83333333,4.265151515
Love and God,kais,563.3333333,3.164794007
Love and God,father,145.3333333,1.99086758
Mera Naam Joker,raju,703,2.391156463
Mere Humsafar,raju,340,2
Main Balwan,tony,134,2.68
Main Balwan,father,10,2.5
Main Balwan,anil,74,1.85
Mazloom,father,13,1.625
Mohabbat Ki Kasam,son,241.3333333,8.619047619
Mohabbat Ki Kasam,boy,12,2.4
Pagla Kahin Ka,max,0,0
Pagla Kahin Ka,shyam,3.5,0.12962963
Pagla Kahin Ka,sujit,0,0
Pagla Kahin Ka,ajit,25,1.315789474
Naam,son,166,7.545454545
Naam,ravi,113,2.215686275
Naam,vicky,75,0.742574257
Nagina,bhairo,490.1666667,8.035519126
Nagina,rajiv,262.8333333,1.428442029
Pavitra Paapi,kedarnath,1278.833333,15.98541667
Pavitra Paapi,pannalal,21.58333333,0.194444444
Pavitra Paapi,kedar,308,6.285714286
Nasihat,mohanlal,739,5.433823529
Nasihat,seth,54.5,0.556122449
Nasihat,rajesh,73,4.055555556
Nasihat,dinesh,499.5,12.18292683
Nasihat,jagdish,283,6.288888889
Prem Pujari,lieutenant,656.3333333,5.966666667
Prem Pujari,man,96.5,6.433333333
Purab Aur Paschim,harnam,0,0
Purab Aur Paschim,father,60.33333333,3.175438596
Purab Aur Paschim,bharat,139,2.482142857
Patton Ki Bazi,mahesh,336,10.18181818
Rootha Na Karo,sudhir,161,5.551724138
Rootha Na Karo,sudheer,519.4166667,4.439458689
Rootha Na Karo,man,76,5.428571429
Rootha Na Karo,anil,55.66666667,1.427350427
Sachaa Jhutha,brother,258.4,4.306666667
Safar (film),kalidas,36,2
Safar (film),brother,109,2.868421053
Safar (film),avinash,224,2.093457944
Sawan Bhadon,madan,672,7.384615385
Sawan Bhadon,vikram,1594.833333,5.461757991
Sawan Bhadon,man,375.1666667,6.821212121
Sawan Bhadon,vinodh,876.8333333,13.08706468
Suhana Safar,sunil,86,3.185185185
Suhana Safar,father,229.5,4.098214286
Tum Haseen Main Jawaan,sunil,655.5,7.622093023
Aap Aye Bahaar Ayee,son,121.3333333,4.044444444
Aap Aye Bahaar Ayee,rohit,741.0833333,3.880017452
Aap Aye Bahaar Ayee,kumar,336.3333333,2.802777778
Aap Aye Bahaar Ayee,whiskey,58,3.052631579
Albela,mahesh,854,14.23333333
Albela,father,377,7.25
Anand,anand,1020.166667,6.145582329
Anand,bhaskar,1180.166667,5.316066066
Anand,kulkarni,22,0.88
Andaz,khanna,58.83333333,2.262820513
Andaz,shammi,72,2.482758621
Andaz,man,500.6666667,18.54320988
Andaz,rajesh,0,0
Anubhav,amar,805.3333333,4.549905838
Anubhav,shashi,398.5,4.025252525
Banphool,raja,23,2.3
Banphool,haria,137,1.505494505
Banphool,father,246.3333333,8.211111111
Banphool,ajay,534,4.37704918
Bikhare Moti,anand,53,0.913793103
Bikhare Moti,gopi,72,1.5
Buddha Mil Gaya,man,101,6.733333333
Buddha Mil Gaya,ajay,9,0.157894737
Caravan,father,60,1.935483871
Caravan,mohan,302.8333333,11.21604938
Caravan,man,28,5.6
Chaahat,father,338.1666667,2.486519608
Chaahat,arun,2032.5,5.463709677
Chaahat,boy,37.75,1.572916667
